Song,Artist,Album,Cover art,Year released 
Paranoid,Ken Carson,A Great Chaos,https://upload.wikimedia.org/wikipedia/en/thumb/f/f5/Ken_Carson_-_A_Great_Chaos.jpg/220px-Ken_Carson_-_A_Great_Chaos.jpg,2023
ss,Ken Carson,A Great Chaos,https://upload.wikimedia.org/wikipedia/en/thumb/f/f5/Ken_Carson_-_A_Great_Chaos.jpg/220px-Ken_Carson_-_A_Great_Chaos.jpg,2023
Socorro,Jey One,Socorro,https://prolatinremix.com/1524-home_default/socorro-jey-one-dj-cri-dembow-aca-starterintro-breakintrooutro-120bpm-3-versions.jpg,2023
Over,Playboi Carti,Whole Lotta Red,https://media.pitchfork.com/photos/5fe1fc4eb35e0eefa6919e92/master/pass/Playboi-Carti.jpg,2020
BANDIT,Don Toliver,HARDSTONE PSHYCHO,"https://m.media-amazon.com/images/I/91vobbxGA0L._UF1000,1000_QL80_.jpg",2024
KRYPTONITE,Don Toliver,HARDSTONE PSHYCHO,"https://m.media-amazon.com/images/I/91vobbxGA0L._UF1000,1000_QL80_.jpg",2024
TORE UP,Don Toliver,HARDSTONE PSHYCHO,"https://m.media-amazon.com/images/I/91vobbxGA0L._UF1000,1000_QL80_.jpg",2024
Fighting My Deamons,Ken Carson,A Great Chaos,https://upload.wikimedia.org/wikipedia/en/thumb/f/f5/Ken_Carson_-_A_Great_Chaos.jpg/220px-Ken_Carson_-_A_Great_Chaos.jpg,2023
Me N My Kup,Ken Carson,A Great Chaos,https://upload.wikimedia.org/wikipedia/en/thumb/f/f5/Ken_Carson_-_A_Great_Chaos.jpg/220px-Ken_Carson_-_A_Great_Chaos.jpg,2023
Jennifer's Body,Ken Carson,A Great Chaos,https://upload.wikimedia.org/wikipedia/en/thumb/f/f5/Ken_Carson_-_A_Great_Chaos.jpg/220px-Ken_Carson_-_A_Great_Chaos.jpg,2023