Song,Artist,Album,Cover Art,Year
Amusement Park,38Top,Amusment park,https://i.ytimg.com/vi/9RqhYowVJeM/maxresdefault.jpg,2023
One Way ,Autumn,Antagonist,https://i.scdn.co/image/ab67616d0000b273ea6fc55c3bc5d69d45911e3c,2022
Persian Rugs,Jaquees,QueMix2,https://i1.sndcdn.com/artworks-000102503699-sd5qnq-t500x500.jpg,2015
Trap Queen,Fetty Wap,Fetty Wap,https://i.discogs.com/oA62ACKapkDn0Ia_iJYegTLi950kz550_XqqDJMLnjs/rs:fit/g:sm/q:90/h:599/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTc1ODY4/ODMtMTcwODg2Nzk1/Ny05MjQ1LmpwZWc.jpeg,2015
Or Nah,Ty Dolla Sign,Beach House Ep,https://i.scdn.co/image/ab67616d0000b2731c04efd2804b16cf689de7f0,2014
Genie,YoungBoy,Until Death Call my name ,https://i.ytimg.com/vi/b4OLHb-QD4w/hq720.jpg?sqp=-oaymwEhCK4FEIIDSFryq4qpAxMIARUAAAAAGAElAADIQj0AgKJD&rs=AOn4CLBLfySzuILEgdiCzVx6sOxdcTTFYg,2018
Bout It,PartyNextDoor,PartyNextDoor2,https://i.scdn.co/image/ab67616d0000b2736cfa297b0178fd91dca5c4f1,2014
Walking Trophy ,HoodCelebritity ,Ina Reel Life,https://i1.sndcdn.com/artworks-000368475618-3zx0t7-t500x500.jpg,2018
Amigo,Romeo Santos,"Formula, Vol. 2",https://i.scdn.co/image/ab67616d0000b273906e8cc991ca530870b6a66a,2014
Centavito,Romeo Santos,Golden,https://i.scdn.co/image/ab67616d0000b273827d0777f8cccdf5b7481442,2017