song ,Artist,Album ,cover Art,Release year
Bad day,Alvin and the chimponks,Alvin and the chimponks: the sqeakquel,"https://m.media-amazon.com/images/I/81FjqMqOZBL._UF1000,1000_QL80_.jpg",2009
whip my hair,the chippetes,chipwrecked,"https://m.media-amazon.com/images/I/81FjqMqOZBL._UF1000,1000_QL80_.jpg",2011
jingle bells,Alvin and the chimponks,christmas with the chipmonks,"https://m.media-amazon.com/images/I/81nXkL10MML._UF1000,1000_QL80_.jpg",2010
death note,hideki taniuchi,DEATHNOTE original soundtrack,https://i.scdn.co/image/ab67616d0000b273d4cafdffd73a6d7bdb4a1439,2006
come get it,rebbeca jones,Alvin and the chimponks: the sqeakquel,"https://m.media-amazon.com/images/I/81FjqMqOZBL._UF1000,1000_QL80_.jpg",2009
gitchee gitchee goo,phineas and the ferbtones,disney summer songs,https://upload.wikimedia.org/wikipedia/en/a/a3/Phineas_and_Ferb_Soundtrack.jpg,2012
gravity falls intro theme,brad breeck,gravity falls main title theme,https://static.wikia.nocookie.net/gravityfalls/images/b/b6/Gravity_Falls_Main_Title_Theme.png/revision/latest/thumbnail/width/360/height/360?cb=20240612215934,2013
die very rough,mario judah,die very rough,https://i.scdn.co/image/ab67616d0000b2736492d3958666fbeda8c4418f,2020
stadium rave,spongebob squarepants,spongebobs greatest hits complimation,https://upload.wikimedia.org/wikipedia/en/f/fc/Greatest_hits_spongebob.jpg,2009
devil in a new dress,kanye west and rick ross,my beutiful dark twisted fantasy,https://i.scdn.co/image/ab67616d0000b273d9194aa18fa4c9362b47464f,2010