Song,Artist,Album,Cover Art,Realease Year
Channel,Frank Ocean,Channel-Single,https://i.ytimg.com/vi/XnbsIl2BnWw/maxresdefault.jpg,2017
Jade,Drake,Scorpion,https://i.ytimg.com/vi/6xmmubq7Xsc/sddefault.jpg,2018
What you heard,Sonder,What you heard-single,https://i.ytimg.com/vi/NomGdaA-g0w/maxresdefault.jpg,2019
By Tomorrow,Hunhxo,For Her,https://i.ytimg.com/vi/Kr7AS0M3FoY/maxresdefault.jpg,2023
Dark Coulds,Rod Wave,Pray 4 Love,https://i.ytimg.com/vi/CptMG4TLlkg/hq720.jpg?sqp=-oaymwEhCK4FEIIDSFryq4qpAxMIARUAAAAAGAElAADIQj0AgKJD&rs=AOn4CLBK-UJpzh9X0_AH0GEY7tkhN2AoBg,2020
Throw Away,Future,Monster,https://images.genius.com/b6d5655f4f008a6d4df7b4c7ca553a04.1000x1000x1.png,2014
No Weakness,Rod Wave,Pray 4 Love,https://i.ytimg.com/vi/CptMG4TLlkg/hq720.jpg?sqp=-oaymwEhCK4FEIIDSFryq4qpAxMIARUAAAAAGAElAADIQj0AgKJD&rs=AOn4CLBK-UJpzh9X0_AH0GEY7tkhN2AoBg,2020
Dark Conversation,Rod Wave,Ghetto Gospel,https://i.ytimg.com/vi/66KIzR76LBw/maxresdefault.jpg,2019
6am in NY,Sleepy Hallow,Sleepy Hallow President,https://i.ytimg.com/vi/GRoM_xsNPh4/maxresdefault.jpg,2020
Slow Down,Lil Tjay,Destined 2 Win,https://share.icloud.jpg,2021