Song,Artist,Albums,Year released,Cover art links
Not An Angel,Tems, For Broken Ears,2020,https://upload.wikimedia.org/wikipedia/en/b/bf/Damages_album_art.jpg
Dark Red,Steve Lacy,Steve Lacy Demo,2017,https://lastfm.freetls.fastly.net/i/u/500x500/3ddbcb76b0872091404a741e58b59562.jpg
Close Friends,Lil Baby,Drip Harder,2018,https://cdns-images.dzcdn.net/images/cover/3d845a35fd7849630324107baf07657b/1900x1900-000000-80-0-0.jpg
Right My Wrongs,Bryson Tiller,TRAPSOUL,2015,https://i1.sndcdn.com/artworks-EAf43hML9XEL9yyT-eG8e7Q-t500x500.jpg
Girls Want Girls,Drake,Certified Lover Boy,2021,https://i.ytimg.com/vi/b8M6N0FTpNc/maxresdefault.jpg
Charm,Rema,Rave and Roses,2022,https://i1.sndcdn.com/artworks-wdiFsn38IvPKvGyC-mySKaw-t500x500.jpg
Asiwaju,Ruger,Ru The World,2023,https://i.ytimg.com/vi/dTVTd7eI51Q/maxresdefault.jpg
Love me JeJe,Tems,Born In The Wild,2024,https://upload.wikimedia.org/wikipedia/en/8/87/Tems_-_Born_in_the_Wild_album_cover.jpg
Distraction,Polo G,Hood Poet,2024,https://images.genius.com/168f2f6dc8b56c9ccc20bb4adba04454.1000x1000x1.png
Free Mind,Tems,for broken ears,2020,"https://media.pitchfork.com/photos/5f7b371fd4d1a57aacd40caa/1:1/w_3000,h_3000,c_limit/for%20broken%20ears%20ep_tems.jpg"